Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Purchase price,Misprint,Altered,Condition,Language,Purchase price currency
A Killer Among Us,MKM,Murders at Karlov Manor,167,foil,uncommon,1,90750,2c1392c5-91a5-4e6e-803d-ed032e4d594b,0.11,false,false,near_mint,en,EUR
A Little Chat,SNC,Streets of New Capenna,47,normal,uncommon,1,67740,4d7424b6-b56a-47b7-8204-294d3dca925f,0.07,false,false,near_mint,en,EUR
A Tale for the Ages,WOE,Wilds of Eldraine,34,foil,rare,1,85722,ca0c8d3b-ce30-4da5-a6a8-9bdcb3c757f9,0.3,false,false,near_mint,de,EUR
Aarakocra Sneak,CLB,Commander Legends: Battle for Baldur's Gate,54,normal,common,1,68933,2a83882c-3e03-4e85-aaac-97fa1d08a772,0.17,false,false,near_mint,en,EUR
"Aatchik, Emerald Radian",DFT,Aetherdrift,187,normal,rare,1,103383,fbdaa29b-85ff-4a06-b27e-fcdbdfd4a3fe,0.19,false,false,near_mint,en,EUR
Abandon Reason,EMN,Eldritch Moon,115,normal,uncommon,1,8220,18c0b3b3-bb62-42c5-9869-386af0540a9b,0.13,false,false,near_mint,en,EUR
Abandoned Campground,DSK,Duskmourn: House of Horror,255,normal,common,1,98675,ee0565f5-ebdb-43f9-bbb4-0485b1968937,0.1,false,false,near_mint,de,EUR
Abandoned Outpost,ODY,Odyssey,312,normal,common,1,31865,4945031e-1158-474c-9e50-1ec817acc767,0.12,false,false,near_mint,en,EUR
"Abdel Adrian, Gorion's Ward",CLB,Commander Legends: Battle for Baldur's Gate,375,normal,uncommon,1,68998,4857125b-bd0f-4f09-9d6c-56544834a359,0.15,false,false,near_mint,en,EUR
Aberrant Researcher // Perfected Form,INR,Innistrad Remastered,52,normal,uncommon,1,102517,41b0eddd-9364-4ca1-ac81-0175dd1387e8,0.07,false,false,near_mint,en,EUR
Abhorrent Overlord,THS,Theros,75,normal,rare,1,15589,4415d050-7a76-4f8b-bf78-e33dd21fe4f1,0.51,false,false,near_mint,en,EUR
Abrade,CMM,Commander Masters,203,normal,common,2,84826,c1d9e279-61c1-4567-9f54-50a7138fb36d,0.11,false,false,near_mint,en,EUR
Abrade,INR,Innistrad Remastered,139,normal,common,4,102860,fee393c7-1868-4d11-93c3-3d143e0c8dd9,0.08,false,false,near_mint,en,EUR
Abrade,LCI,The Lost Caverns of Ixalan,131,normal,common,1,88456,47f39b5e-2e85-4f31-bbab-0b0bf58f701d,0.09,false,false,near_mint,de,EUR
Abrade,BLC,Bloomburrow Commander,191,normal,common,1,96450,c1466ae6-9dbc-4ead-844b-9b1ba7274baf,0.16,false,false,near_mint,de,EUR
Abstruse Appropriation,MH3,Modern Horizons 3,177,normal,rare,1,94639,d7149359-bb3f-413c-b21d-e4cd88618e56,0.2,false,false,near_mint,de,EUR
Abundant Growth,INR,Innistrad Remastered,184,normal,common,1,102789,d15adc93-1a71-453b-8277-4a525a9cbc7b,0.14,false,false,near_mint,en,EUR
Abundant Harvest,CMM,Commander Masters,269,normal,common,3,84357,516e137a-d9d9-4ba7-89fb-e680ddb2c2d1,0.08,false,false,near_mint,en,EUR
Abundant Harvest,CMM,Commander Masters,269,foil,common,1,84357,516e137a-d9d9-4ba7-89fb-e680ddb2c2d1,0.22,false,false,near_mint,en,EUR
Abundant Maw,INR,Innistrad Remastered,1,normal,common,1,102769,c5620c22-910c-4d33-a5e9-4c4eac8c6304,0.08,false,false,near_mint,en,EUR
